ORGANIZATION NUMBER;Party_ID;ATTRIBUTE17
2021000225;10583166;SE
2021000340;18856571;SE
2021000464;21484933;SE
2021000696;22251556;SE
2021000969;10583170;SE
2021001090;16519529;SE
2021001132;18655072;SE
2021001199;21687977;SE
2021001850;18159508;SE
2021002163;11179736;SE
2021002270;15353432;SE
2021002288;18991505;SE
2021002320;18798510;SE
2021002528;20323814;SE
2021002650;23394633;SE
2021002684;23134739;SE
2021002908;11356337;SE
2021002957;20580694;SE
2021002973;10583193;SE
2021003062;358190;SE
2021003096;11030469;SE
2021003146;21795750;SE
2021003153;417473;SE
2021003195;18948583;SE
2021003203;14294025;SE
2021003211;10583197;SE
2021003476;22651530;SE
2021003831;10583200;SE
2021004060;15949896;SE
2021004185;22514595;SE
2021004227;22269450;SE
2021004334;23055908;SE
2021004474;22651531;SE
2021004607;22881676;SE
2021004615;10583209;SE
2021004789;19858511;SE
2021004961;22651532;SE
2021005182;11544149;SE
2021005208;10583218;SE
2021005232;22651533;SE
2021005240;23383579;SE
2021005356;22651534;SE
2021005521;17108714;SE
2021005588;22651535;SE
2021005646;22196017;SE
2021006073;22651536;SE
2021006297;10583224;SE
2021006420;17500873;SE
2021006453;22651537;SE
2021006487;22651538;SE
2021006495;22651539;SE
2105823;13755057;SE
2120000035;20888641;SE
2120000084;16146606;SE
2120000126;19234503;SE
2120000142;10583230;SE
2120000175;22924763;SE
2120000324;16635911;SE
2120000449;14410556;SE
2120000530;16146607;SE
2120000548;22238841;SE
2120000712;2906219;SE
2120000746;19001110;SE
2120000803;20776639;SE
2120001017;21637614;SE
2120001041;23261570;SE
2120001066;16146608;SE
2120001124;10583241;SE
2120001132;21484842;SE
2120001140;22284623;SE
2120001157;22993556;SE
2120001199;18509520;SE
2120001223;14985173;SE
2120001264;16146615;SE
2120001355;10583243;SE
2120001405;22708903;SE
2120001538;20791499;SE
2120001777;12029225;SE
2120001835;11548267;SE
2120002080;17728492;SE
2120002338;18155553;SE
2120002361;17478487;SE
2120002411;22545075;SE
2120002452;18971497;SE
2120002544;16531528;SE
2120002643;20974534;SE
2120002700;22338091;SE
2120002726;22697660;SE
2120002767;17568585;SE
2120002791;14028107;SE
2120002841;17433523;SE
2120002882;10583270;SE
2120002890;16072854;SE
2120002973;19497079;SE
2220000760;15147573;SE
2220001826;18203598;SE
2220002378;18930580;SE
2321000016;10583276;SE
2321000057;3882894;SE
2321000115;11920085;SE
2321000131;10583282;SE
2321000164;10583285;SE
2321000180;21068520;SE
2321000206;19144048;SE
2321000255;10583291;SE
2520000700;23240995;SE
2520014396;18942528;SE
2520028818;16146617;SE
2520029345;22651553;SE
2520030244;22228512;SE
2520031028;18087626;SE
2520031564;15042570;SE
2520037181;17108816;SE
2520039179;19970311;SE
2520040623;20935936;SE
2520041191;20267726;SE
2520042587;21993654;SE
2520043080;14294122;SE
2520049012;8761868;SE
2520049129;20724168;SE
2520049152;19711062;SE
2520100112;20790806;SE
2620000220;10681138;SE
2620000253;8037196;SE
2620001145;23370256;SE
2620001160;22651554;SE
2620001590;21117533;SE
3910079312;19057604;SE
405252297;20189640;SE
4111194876;17282663;SE
4302214350;20695603;SE
4512233539;17938864;SE
4705142554;22584528;SE
4908026919;14588498;SE
5011153243;15110560;SE
5020270459;22651602;SE
5020271085;22651605;SE
5020278023;22651607;SE
5020385943;23161618;SE
5020485834;18299259;SE
5020489521;20277603;SE
5020511423;16519592;SE
5020519954;11179059;SE
5020581442;20695641;SE
5020599477;22113731;SE
5020606785;10583352;SE
5020618988;14350687;SE
5020624994;12138682;SE
5020627633;20695642;SE
5020628268;15486594;SE
5020643168;22651608;SE
5020643911;10702232;SE
5020649629;391150;SE
5020650478;20695643;SE
5020654231;18216598;SE
5020672043;391161;SE
5020672480;14350512;SE
5020673157;18555570;SE
5020677737;22682349;SE
5020678263;21637641;SE
5020678750;391238;SE
5020685060;14984897;SE
5020685813;8073153;SE
5020688825;901908;SE
5020693858;22457508;SE
5020695036;21795691;SE
5020704721;16232711;SE
5020712583;21059;SE
5020727193;3151371;SE
5020733688;20259594;SE
5020734272;84485;SE
5020735055;283675;SE
5020741210;18655116;SE
5020741814;21371703;SE
5020744370;20695644;SE
5020744925;1863627;SE
5020746136;901916;SE
5020747290;901921;SE
5020752050;14319541;SE
5020754163;21074581;SE
5020758339;21676966;SE
5020760814;6041218;SE
5020765607;21076502;SE
5020766100;22748527;SE
5020766464;10785119;SE
5020774526;10163399;SE
5020775903;18110656;SE
5020782834;11424452;SE
5020784756;4990697;SE
5020784970;19172515;SE
5020786777;16146624;SE
5020788153;18299229;SE
5020791454;132587;SE
5020797824;16453731;SE
5020803226;12960064;SE
5020803903;22813617;SE
5020812664;20923374;SE
5020814090;22042575;SE
5020815444;7015588;SE
5020815519;15949626;SE
5020819073;10871944;SE
5020819990;7305503;SE
5020821889;10975207;SE
5020825641;11322071;SE
5020829171;3885583;SE
5020831193;16199653;SE
5020843917;7855478;SE
5020846175;16881617;SE
5020849336;15467011;SE
5020849856;10785167;SE
5020863121;23430899;SE
5020867569;19559490;SE
5020870118;18581608;SE
5020872882;22372509;SE
5020875869;10583326;SE
5020882451;20777093;SE
5020884721;22651609;SE
5020887930;19250194;SE
5020888334;15734509;SE
5020899208;20964660;SE
5020899224;20964664;SE
5020900485;15707609;SE
5020903497;15284631;SE
5020908496;14738579;SE
5020908553;21203511;SE
5020909171;13457383;SE
5020911151;13756244;SE
5020914163;19037501;SE
5020916507;19878017;SE
5020920384;18630501;SE
5020925854;19017539;SE
5020936075;19569886;SE
5020947882;22575583;SE
5020948971;21677294;SE
5020956107;22902853;SE
5020959671;23408886;SE
5101075090;17555507;SE
5106308272;18275369;SE
511217150;22205838;SE
5164010208;180562;SE
5164016668;22651616;SE
5164016718;391286;SE
5164018003;16146626;SE
5164018029;19001158;SE
5164018185;16146627;SE
5164018482;180563;SE
5164018557;21688312;SE
5164018599;12181749;SE
5164019811;14133271;SE
5164023433;14489510;SE
5164023714;81539;SE
5164025297;10702423;SE
5164028119;10919449;SE
5164032533;13124171;SE
5164035171;10531363;SE
5164036351;11179530;SE
5164036716;14941827;SE
5164038266;16146628;SE
5164038662;16146629;SE
5164044405;14249510;SE
5164048497;391312;SE
5164049081;10583424;SE
5164051558;89134;SE
5164057506;13235316;SE
